question_id,skill_id
1,1
1,60
2,1
2,60
3,2
3,60
4,2
4,12
5,3
5,87
6,4
6,87
7,4
7,87
8,3
8,85
9,3
9,85
10,5
11,6
12,6
13,7
14,7
15,6
15,96
16,6
16,96
17,7
17,96
18,6
18,79
19,6
19,36
20,5
20,8
21,5
21,8
22,5
22,8
23,5
23,8
24,5
24,8
25,5
25,8
26,5
26,8
27,5
27,8
28,8
29,9
29,12
30,9
30,12
31,10
31,70
32,11
33,6
33,22
34,12
34,22
35,7
35,22
36,6
36,22
37,6
38,13
39,6
40,14
40,58
41,14
41,58
42,14
42,58
43,14
43,26
44,14
44,55
45,14
45,55
46,11
46,58
47,8
47,58
48,15
49,1
49,12
50,12
50,31
51,1
51,12
52,15
52,16
53,15
53,17
54,15
54,17
55,15
55,18
56,19
57,20
58,21
58,38
59,15
59,16
60,22
60,38
61,23
62,24
63,23
64,15
64,20
65,15
65,20
66,25
67,15
67,16
68,13
68,70
69,13
69,70
70,13
70,70
71,13
71,70
72,25
72,26
73,27
73,47
74,3
74,27
75,3
75,26
76,28
77,29
78,28
79,30
80,28
81,31
81,89
82,31
82,89
83,32
83,76
84,33
85,33
86,22
86,33
87,34
87,70
88,3
88,25
89,35
89,88
90,36
91,36
92,36
93,37
94,8
94,25
95,8
95,35
96,6
96,8
97,6
97,8
98,6
98,8
99,6
99,8
100,6
100,8
101,2
101,8
102,1
103,1
104,1
105,38
106,11
106,30
107,11
107,34
108,34
108,36
109,36
109,39
110,39
111,40
111,87
112,11
112,34
113,41
114,40
114,87
115,11
115,34
116,42
116,87
117,39
118,11
118,34
119,34
120,26
120,34
121,41
122,11
122,34
123,40
124,34
124,36
125,43
126,41
126,63
127,44
128,39
129,34
130,40
130,86
131,45
131,58
132,35
132,45
133,34
134,6
134,39
135,6
135,46
136,7
136,46
137,7
137,46
138,40
139,40
140,40
141,39
142,40
143,40
144,34
145,47
146,44
147,34
148,34
149,34
150,34
151,3
152,6
152,47
153,3
153,22
154,44
154,86
155,48
156,48
156,58
157,48
157,58
158,6
158,49
159,34
160,47
161,34
162,47
163,34
164,41
165,47
166,34
166,77
167,34
168,34
169,46
169,58
170,46
170,58
171,46
171,58
172,46
172,58
173,46
173,58
174,3
174,46
175,43
176,15
177,4
177,47
178,47
179,39
180,40
181,48
182,4
182,47
183,3
184,22
184,50
185,47
186,40
187,40
188,40
189,1
189,40
190,41
191,22
191,50
192,15
192,51
193,15
193,30
194,45
195,45
196,35
196,52
197,22
197,52
198,52
199,52
200,53
201,26
201,39
202,36
203,35
203,36
204,54
204,64
205,54
206,54
207,55
207,64
208,52
208,61
209,34
210,56
210,64
211,8
211,61
212,36
213,57
214,30
215,30
216,30
217,58
218,11
219,41
219,50
220,59
221,15
221,35
222,28
223,59
223,61
224,35
225,31
225,38
226,15
