skill_id,canonical_skill_key,is_untagged,tag_count,original_tag_ids,question_count,raw_interaction_count,supervised_interaction_count,retained_interaction_count
1,<UNTAGGED>,True,0,[],797,19430,19318,18307
2,1;2;179;181,False,4,"[1,2,179,181]",4,42249,42247,36520
3,1;2;179;183,False,4,"[1,2,179,183]",1,2511,2511,2156
4,1;2;179;184,False,4,"[1,2,179,184]",3,26689,26687,24087
5,1;2;181,False,3,"[1,2,181]",2,11415,11412,10821
6,1;2;182,False,3,"[1,2,182]",11,82230,82223,75969
7,1;2;183,False,3,"[1,2,183]",6,49073,49066,44700
8,1;2;184,False,3,"[1,2,184]",3,20711,20710,19055
9,1;2;185,False,3,"[1,2,185]",6,69359,69352,61805
10,2;3;179;181,False,4,"[2,3,179,181]",1,24983,24983,22290
11,2;3;179;182,False,4,"[2,3,179,182]",2,22985,22980,19975
12,2;3;181,False,3,"[2,3,181]",6,76909,76908,69697
13,2;3;182,False,3,"[2,3,182]",3,32232,32231,28475
14,2;3;183,False,3,"[2,3,183]",2,17906,17903,16256
15,2;3;184,False,3,"[2,3,184]",3,17244,17244,16321
16,2;3;185,False,3,"[2,3,185]",1,23075,23073,20582
17,2;4;179;182,False,4,"[2,4,179,182]",2,33166,33164,20388
18,2;4;179;183,False,4,"[2,4,179,183]",4,32474,32472,29350
19,2;4;181,False,3,"[2,4,181]",7,71189,71177,64933
20,2;4;182,False,3,"[2,4,182]",9,90849,90839,68442
21,2;4;183,False,3,"[2,4,183]",11,147396,147354,127010
22,2;4;184,False,3,"[2,4,184]",8,69034,69025,56907
23,2;4;185,False,3,"[2,4,185]",1,18078,18078,16511
24,2;5;179;181,False,4,"[2,5,179,181]",2,15182,15180,13831
25,2;5;179;182,False,4,"[2,5,179,182]",5,41215,41209,29931
26,2;5;179;183,False,4,"[2,5,179,183]",3,27008,27000,24006
27,2;5;179;184,False,4,"[2,5,179,184]",5,34986,34981,31547
28,2;5;181,False,3,"[2,5,181]",11,92576,92557,83339
29,2;5;182,False,3,"[2,5,182]",8,316951,316929,130666
30,2;5;183,False,3,"[2,5,183]",6,46417,46417,35829
31,2;5;184,False,3,"[2,5,184]",4,31758,31758,28036
32,2;8;179;181,False,4,"[2,8,179,181]",3,41915,41915,31358
33,2;8;179;182,False,4,"[2,8,179,182]",2,30366,30348,19672
34,2;8;179;183,False,4,"[2,8,179,183]",2,13640,13637,12267
35,2;8;181,False,3,"[2,8,181]",14,112473,112464,103378
36,2;8;182,False,3,"[2,8,182]",12,82422,82418,68101
37,2;8;183,False,3,"[2,8,183]",10,100533,100532,85295
38,2;8;184,False,3,"[2,8,184]",9,52774,52772,49198
39,2;8;185,False,3,"[2,8,185]",4,45978,45967,41047
40,2;9;179;181,False,4,"[2,9,179,181]",4,35266,35266,31455
41,2;9;179;182,False,4,"[2,9,179,182]",2,13583,13581,12241
42,2;9;179;184,False,4,"[2,9,179,184]",2,32821,32821,28328
43,2;9;181,False,3,"[2,9,181]",8,69935,69925,64917
44,2;9;182,False,3,"[2,9,182]",7,45343,45338,41923
45,2;9;183,False,3,"[2,9,183]",10,135781,135773,89728
46,2;9;184,False,3,"[2,9,184]",7,47985,47983,44553
47,2;9;185,False,3,"[2,9,185]",2,12726,12723,11673
48,2;12;179;182,False,4,"[2,12,179,182]",2,22298,22295,19661
49,2;12;179;184,False,4,"[2,12,179,184]",1,7041,7041,6079
50,2;12;181,False,3,"[2,12,181]",2,10857,10857,9955
51,2;12;182,False,3,"[2,12,182]",5,74932,74920,59295
52,2;12;183,False,3,"[2,12,183]",5,63816,63815,56267
53,2;12;184,False,3,"[2,12,184]",2,17467,17467,16371
54,2;12;185,False,3,"[2,12,185]",3,17983,17983,16281
55,2;13;179;181,False,4,"[2,13,179,181]",1,8439,8438,7506
56,2;13;179;182,False,4,"[2,13,179,182]",1,4955,4955,3973
