skill_id,canonical_skill_key,is_untagged,tag_count,original_tag_ids,question_count
1,<UNTAGGED>,True,0,[],797
2,1;2;179;181,False,4,"[1,2,179,181]",4
3,1;2;179;183,False,4,"[1,2,179,183]",1
4,1;2;179;184,False,4,"[1,2,179,184]",3
5,1;2;181,False,3,"[1,2,181]",2
6,1;2;182,False,3,"[1,2,182]",11
7,1;2;183,False,3,"[1,2,183]",6
8,1;2;184,False,3,"[1,2,184]",3
9,1;2;185,False,3,"[1,2,185]",6
10,2;3;179;181,False,4,"[2,3,179,181]",1
11,2;3;179;182,False,4,"[2,3,179,182]",2
12,2;3;181,False,3,"[2,3,181]",6
13,2;3;182,False,3,"[2,3,182]",3
14,2;3;183,False,3,"[2,3,183]",2
15,2;3;184,False,3,"[2,3,184]",3
16,2;3;185,False,3,"[2,3,185]",1
17,2;4;179;182,False,4,"[2,4,179,182]",2
18,2;4;179;183,False,4,"[2,4,179,183]",4
19,2;4;181,False,3,"[2,4,181]",7
20,2;4;182,False,3,"[2,4,182]",9
21,2;4;183,False,3,"[2,4,183]",11
22,2;4;184,False,3,"[2,4,184]",8
23,2;4;185,False,3,"[2,4,185]",1
24,2;5;179;181,False,4,"[2,5,179,181]",2
25,2;5;179;182,False,4,"[2,5,179,182]",5
26,2;5;179;183,False,4,"[2,5,179,183]",3
27,2;5;179;184,False,4,"[2,5,179,184]",5
28,2;5;181,False,3,"[2,5,181]",11
29,2;5;182,False,3,"[2,5,182]",8
30,2;5;183,False,3,"[2,5,183]",6
31,2;5;184,False,3,"[2,5,184]",4
32,2;8;179;181,False,4,"[2,8,179,181]",3
33,2;8;179;182,False,4,"[2,8,179,182]",2
34,2;8;179;183,False,4,"[2,8,179,183]",2
35,2;8;181,False,3,"[2,8,181]",14
36,2;8;182,False,3,"[2,8,182]",12
37,2;8;183,False,3,"[2,8,183]",10
38,2;8;184,False,3,"[2,8,184]",9
39,2;8;185,False,3,"[2,8,185]",4
40,2;9;179;181,False,4,"[2,9,179,181]",4
41,2;9;179;182,False,4,"[2,9,179,182]",2
42,2;9;179;184,False,4,"[2,9,179,184]",2
43,2;9;181,False,3,"[2,9,181]",8
44,2;9;182,False,3,"[2,9,182]",7
45,2;9;183,False,3,"[2,9,183]",10
46,2;9;184,False,3,"[2,9,184]",7
47,2;9;185,False,3,"[2,9,185]",2
48,2;12;179;182,False,4,"[2,12,179,182]",2
49,2;12;179;184,False,4,"[2,12,179,184]",1
50,2;12;181,False,3,"[2,12,181]",2
51,2;12;182,False,3,"[2,12,182]",5
52,2;12;183,False,3,"[2,12,183]",5
53,2;12;184,False,3,"[2,12,184]",2
54,2;12;185,False,3,"[2,12,185]",3
55,2;13;179;181,False,4,"[2,13,179,181]",1
56,2;13;179;182,False,4,"[2,13,179,182]",1
57,2;13;179;183,False,4,"[2,13,179,183]",2
58,2;13;179;184,False,4,"[2,13,179,184]",1
59,2;13;181,False,3,"[2,13,181]",6
60,2;13;183,False,3,"[2,13,183]",2
61,2;13;184,False,3,"[2,13,184]",3
62,2;13;185,False,3,"[2,13,185]",1
63,2;14;179;181,False,4,"[2,14,179,181]",1
64,2;14;179;182,False,4,"[2,14,179,182]",5
65,2;14;179;183,False,4,"[2,14,179,183]",1
66,2;14;181,False,3,"[2,14,181]",7
67,2;14;182,False,3,"[2,14,182]",7
68,2;14;183,False,3,"[2,14,183]",9
69,2;14;184,False,3,"[2,14,184]",3
70,2;14;185,False,3,"[2,14,185]",1
71,2;15;179;181,False,4,"[2,15,179,181]",1
72,2;15;179;182,False,4,"[2,15,179,182]",2
73,2;15;179;183,False,4,"[2,15,179,183]",1
74,2;15;181,False,3,"[2,15,181]",6
75,2;15;182,False,3,"[2,15,182]",3
76,2;15;183,False,3,"[2,15,183]",4
77,2;15;184,False,3,"[2,15,184]",2
78,2;15;185,False,3,"[2,15,185]",3
79,2;16;179;181,False,4,"[2,16,179,181]",4
80,2;16;179;182,False,4,"[2,16,179,182]",1
81,2;16;179;183,False,4,"[2,16,179,183]",1
82,2;16;181,False,3,"[2,16,181]",5
83,2;16;182,False,3,"[2,16,182]",2
84,2;16;183,False,3,"[2,16,183]",8
85,2;16;184,False,3,"[2,16,184]",2
86,2;16;185,False,3,"[2,16,185]",1
87,2;19;181,False,3,"[2,19,181]",5
88,2;19;182,False,3,"[2,19,182]",6
89,2;19;183,False,3,"[2,19,183]",4
90,2;19;184,False,3,"[2,19,184]",7
91,2;19;185,False,3,"[2,19,185]",1
92,2;22;179;182,False,4,"[2,22,179,182]",1
93,2;22;179;183,False,4,"[2,22,179,183]",1
94,2;22;181,False,3,"[2,22,181]",7
95,2;22;182,False,3,"[2,22,182]",4
96,2;22;183,False,3,"[2,22,183]",8
97,2;22;184,False,3,"[2,22,184]",6
98,2;22;185,False,3,"[2,22,185]",3
99,2;180;181,False,3,"[2,180,181]",1
100,2;180;182,False,3,"[2,180,182]",2
101,2;180;183,False,3,"[2,180,183]",5
102,2;180;184,False,3,"[2,180,184]",2
103,6;7;179;181,False,4,"[6,7,179,181]",1
