skill_id,canonical_skill_key,original_tag_ids,tag_count,is_untagged,source_interaction_count,retained_interaction_count
1,1,[1],1,False,6599,6599
2,2,[2],1,False,16472,16472
3,2;1176,"[2,1176]",2,False,8582,8582
4,3,[3],1,False,13796,13796
5,3;89,"[3,89]",2,False,1864,1864
6,3;346,"[3,346]",2,False,2032,2032
7,4,[4],1,False,21602,21602
8,5,[5],1,False,7438,7438
9,6,[6],1,False,8712,8712
10,7,[7],1,False,14603,14603
11,8,[8],1,False,10347,10347
12,9,[9],1,False,21901,21901
13,10,[10],1,False,9893,9893
14,10;1025,"[10,1025]",2,False,981,981
15,11,[11],1,False,98692,98692
16,12,[12],1,False,101879,101879
17,13,[13],1,False,106704,106704
18,14,[14],1,False,13215,13215
19,15,[15],1,False,85426,85426
20,16,[16],1,False,86340,86340
21,17,[17],1,False,66956,66956
22,18,[18],1,False,59359,59359
23,19,[19],1,False,55652,55652
24,20,[20],1,False,61897,61897
25,21,[21],1,False,72270,72270
26,22,[22],1,False,62832,62832
27,23,[23],1,False,5647,5647
28,24,[24],1,False,7612,7612
29,25,[25],1,False,6558,6558
30,26,[26],1,False,5673,5673
31,27,[27],1,False,5255,5255
32,28,[28],1,False,5474,5474
33,29,[29],1,False,43452,43452
34,30,[30],1,False,5759,5759
35,30;1043,"[30,1043]",2,False,1700,1700
36,31,[31],1,False,3498,3498
37,31;1043,"[31,1043]",2,False,5658,5658
38,32,[32],1,False,8394,8394
39,33,[33],1,False,11056,11056
40,34,[34],1,False,10638,10638
41,34;676,"[34,676]",2,False,120,120
42,35,[35],1,False,37459,37459
43,36,[36],1,False,28167,28167
44,37,[37],1,False,33701,33701
45,38,[38],1,False,26422,26422
46,39,[39],1,False,28935,28935
47,40,[40],1,False,22005,22005
48,41,[41],1,False,20599,20599
49,42,[42],1,False,19588,19588
50,43,[43],1,False,15340,15340
51,44,[44],1,False,15578,15578
52,45,[45],1,False,14979,14979
53,45;1143,"[45,1143]",2,False,1273,1273
54,46,[46],1,False,15349,15349
55,47,[47],1,False,11927,11927
56,48,[48],1,False,17569,17569
57,49,[49],1,False,2680,2680
58,50,[50],1,False,14067,14067
59,51,[51],1,False,41041,41041
60,52,[52],1,False,19214,19214
61,53,[53],1,False,16896,16896
62,54,[54],1,False,24926,24926
63,55,[55],1,False,29578,29578
64,56,[56],1,False,15591,15591
65,57,[57],1,False,20090,20090
66,58,[58],1,False,25246,25246
67,58;342,"[58,342]",2,False,2450,2450
68,59,[59],1,False,15712,15712
69,60,[60],1,False,6945,6945
70,61,[61],1,False,2897,2897
71,61;966,"[61,966]",2,False,7581,7581
72,61;1275,"[61,1275]",2,False,719,719
73,61;1283,"[61,1283]",2,False,2893,2893
74,61;1295,"[61,1295]",2,False,547,547
75,62,[62],1,False,25062,25062
76,62;251,"[62,251]",2,False,3148,3148
77,62;382,"[62,382]",2,False,2911,2911
78,63,[63],1,False,18980,18980
79,63;384,"[63,384]",2,False,15143,15143
80,64,[64],1,False,14893,14893
81,65,[65],1,False,21803,21803
82,65;384,"[65,384]",2,False,17903,17903
83,66,[66],1,False,15769,15769
84,67,[67],1,False,19366,19366
85,67;387,"[67,387]",2,False,35038,35038
86,68,[68],1,False,12246,12246
87,69,[69],1,False,15194,15194
88,70,[70],1,False,13484,13484
89,71,[71],1,False,14463,14463
90,72,[72],1,False,15590,15590
91,73,[73],1,False,15003,15003
92,74,[74],1,False,10475,10475
93,74;384,"[74,384]",2,False,9205,9205
94,74;384;508,"[74,384,508]",3,False,2538,2538
95,75,[75],1,False,19266,19266
96,76,[76],1,False,10080,10080
97,76;80,"[76,80]",2,False,9449,9449
98,77,[77],1,False,27264,27264
99,77;79,"[77,79]",2,False,20857,20857
100,78,[78],1,False,20376,20376
101,78;79,"[78,79]",2,False,16223,16223
102,79;358,"[79,358]",2,False,16221,16221
103,80;972,"[80,972]",2,False,15925,15925
104,80;973,"[80,973]",2,False,11623,11623
105,81,[81],1,False,35259,35259
106,82,[82],1,False,13953,13953
107,83,[83],1,False,11588,11588
108,84,[84],1,False,21869,21869
109,84;960,"[84,960]",2,False,5113,5113
110,85,[85],1,False,13894,13894
111,86,[86],1,False,14149,14149
112,87,[87],1,False,11774,11774
113,87;89,"[87,89]",2,False,4489,4489
114,88,[88],1,False,10616,10616
115,88;233,"[88,233]",2,False,2942,2942
116,88;346,"[88,346]",2,False,1687,1687
117,89,[89],1,False,12054,12054
118,90,[90],1,False,12986,12986
119,91,[91],1,False,22502,22502
120,92,[92],1,False,18758,18758
121,92;93,"[92,93]",2,False,7955,7955
122,93;94,"[93,94]",2,False,4453,4453
123,93;349,"[93,349]",2,False,12336,12336
124,93;350,"[93,350]",2,False,7860,7860
125,94,[94],1,False,21667,21667
126,95,[95],1,False,21099,21099
127,96,[96],1,False,14205,14205
128,97,[97],1,False,16937,16937
129,98,[98],1,False,9736,9736
130,99,[99],1,False,13120,13120
131,100,[100],1,False,14470,14470
132,101,[101],1,False,20304,20304
133,102,[102],1,False,13288,13288
134,102;333,"[102,333]",2,False,718,718
135,103,[103],1,False,8094,8094
136,104,[104],1,False,8009,8009
137,104;432,"[104,432]",2,False,21261,21261
138,105,[105],1,False,29780,29780
139,106,[106],1,False,9235,9235
140,106;432,"[106,432]",2,False,19032,19032
141,107,[107],1,False,6698,6698
142,107;1079,"[107,1079]",2,False,4391,4391
143,108,[108],1,False,8576,8576
144,108;110,"[108,110]",2,False,982,982
145,109,[109],1,False,6088,6088
146,110,[110],1,False,4246,4246
147,110;1048,"[110,1048]",2,False,1552,1552
148,110;1079,"[110,1079]",2,False,3202,3202
149,110;1267,"[110,1267]",2,False,911,911
150,111,[111],1,False,6720,6720
151,111;1277,"[111,1277]",2,False,3781,3781
152,112,[112],1,False,22980,22980
153,113,[113],1,False,29375,29375
154,114,[114],1,False,22205,22205
155,115,[115],1,False,1289,1289
156,116,[116],1,False,1336,1336
157,117,[117],1,False,15032,15032
158,118,[118],1,False,9310,9310
159,119,[119],1,False,6612,6612
160,120,[120],1,False,11159,11159
161,120;801,"[120,801]",2,False,1324,1324
162,121,[121],1,False,4001,4001
163,122,[122],1,False,3987,3987
164,123,[123],1,False,4924,4924
165,124,[124],1,False,4904,4904
166,125,[125],1,False,1691,1691
167,126,[126],1,False,1381,1381
168,127,[127],1,False,953,953
169,128,[128],1,False,4848,4848
170,129,[129],1,False,14011,14011
171,130,[130],1,False,16240,16240
172,131,[131],1,False,14466,14466
173,132,[132],1,False,10870,10870
174,133,[133],1,False,11710,11710
175,133;219,"[133,219]",2,False,7203,7203
176,134,[134],1,False,14452,14452
177,135,[135],1,False,20415,20415
178,136,[136],1,False,15400,15400
179,137,[137],1,False,9242,9242
180,138,[138],1,False,14804,14804
181,139,[139],1,False,19155,19155
182,140,[140],1,False,8725,8725
183,141,[141],1,False,10883,10883
184,142,[142],1,False,6442,6442
185,142;143,"[142,143]",2,False,9123,9123
186,144,[144],1,False,9411,9411
187,144;202,"[144,202]",2,False,1958,1958
188,145,[145],1,False,19663,19663
189,145;456,"[145,456]",2,False,3621,3621
190,146,[146],1,False,14344,14344
191,146;150,"[146,150]",2,False,9120,9120
192,147,[147],1,False,14738,14738
193,147;456,"[147,456]",2,False,4130,4130
194,148,[148],1,False,18304,18304
195,149,[149],1,False,14959,14959
196,149;150,"[149,150]",2,False,5051,5051
197,150,[150],1,False,11989,11989
198,151,[151],1,False,24077,24077
199,152,[152],1,False,5320,5320
200,153,[153],1,False,19007,19007
201,154,[154],1,False,18998,18998
202,155,[155],1,False,18449,18449
203,156,[156],1,False,14958,14958
204,157,[157],1,False,31255,31255
205,158,[158],1,False,26563,26563
206,158;161,"[158,161]",2,False,21183,21183
207,159,[159],1,False,29056,29056
208,159;161,"[159,161]",2,False,7214,7214
209,160,[160],1,False,31128,31128
210,160;161,"[160,161]",2,False,15120,15120
211,161;163,"[161,163]",2,False,12049,12049
212,162,[162],1,False,29884,29884
