question_id,skill_id,canonical_skill_key
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,2,2
7,2,2
8,2,2
9,2,2
10,2,2
11,3,2;1176
12,3,2;1176
13,3,2;1176
14,2,2
15,3,2;1176
16,3,2;1176
17,2,2
18,2,2
19,2,2
20,2,2
21,3,2;1176
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,4,3
28,4,3
29,4,3
30,5,3;89
31,4,3
32,6,3;346
33,4,3
34,4,3
35,4,3
36,4,3
37,7,4
38,8,5
39,8,5
40,8,5
41,8,5
42,9,6
43,7,4
44,7,4
45,8,5
46,8,5
47,7,4
48,8,5
49,9,6
50,9,6
51,9,6
52,9,6
53,9,6
54,9,6
55,9,6
56,10,7
57,10,7
58,10,7
59,10,7
60,11,8
61,12,9
62,12,9
63,11,8
64,10,7
65,12,9
66,10,7
67,12,9
68,11,8
69,10,7
70,11,8
71,11,8
72,10,7
73,12,9
74,12,9
75,12,9
76,12,9
77,12,9
78,13,10
79,13,10
80,13,10
81,15,11
82,13,10
83,16,12
84,17,13
85,14,10;1025
86,15,11
87,15,11
88,17,13
89,17,13
90,17,13
91,15,11
92,15,11
93,17,13
94,18,14
95,19,15
96,20,16
97,19,15
98,20,16
99,16,12
100,19,15
101,16,12
102,20,16
103,20,16
104,20,16
105,19,15
106,16,12
107,19,15
108,19,15
109,16,12
110,16,12
111,21,17
112,22,18
113,22,18
114,23,19
115,23,19
116,24,20
117,24,20
118,23,19
119,21,17
120,24,20
121,22,18
122,25,21
123,26,22
124,22,18
125,22,18
126,21,17
127,22,18
128,21,17
129,22,18
130,24,20
131,25,21
132,22,18
133,25,21
134,21,17
135,25,21
136,24,20
137,24,20
138,22,18
139,22,18
140,23,19
141,22,18
142,23,19
143,26,22
144,26,22
145,25,21
146,26,22
147,26,22
148,27,23
149,28,24
150,28,24
151,27,23
152,28,24
153,27,23
154,27,23
155,28,24
156,28,24
157,29,25
158,30,26
159,30,26
160,29,25
161,29,25
162,31,27
163,30,26
164,31,27
165,29,25
166,30,26
167,29,25
168,30,26
169,29,25
170,27,23
171,32,28
172,31,27
173,32,28
174,32,28
175,32,28
176,25,21
177,32,28
178,25,21
179,32,28
180,33,29
181,22,18
182,23,19
183,33,29
184,21,17
185,24,20
186,21,17
187,24,20
188,22,18
189,33,29
190,23,19
191,33,29
192,26,22
193,26,22
194,33,29
195,34,30
196,34,30
197,33,29
198,36,31
199,36,31
200,38,32
201,33,29
202,38,32
203,38,32
204,38,32
205,38,32
206,34,30
207,38,32
208,34,30
209,38,32
210,33,29
211,36,31
212,34,30
213,38,32
214,33,29
215,38,32
216,37,31;1043
217,36,31
218,37,31;1043
219,36,31
220,33,29
221,33,29
222,39,33
223,39,33
224,39,33
225,40,34
226,40,34
227,33,29
228,40,34
229,33,29
230,40,34
231,42,35
232,42,35
233,42,35
234,42,35
235,42,35
236,42,35
237,42,35
238,42,35
239,42,35
240,42,35
241,42,35
242,42,35
243,42,35
244,42,35
245,42,35
246,42,35
247,42,35
248,42,35
249,42,35
250,43,36
251,42,35
252,44,37
253,44,37
254,44,37
255,44,37
256,44,37
257,44,37
258,44,37
259,44,37
260,44,37
261,44,37
262,44,37
263,44,37
264,44,37
265,44,37
266,44,37
267,44,37
268,44,37
269,44,37
270,43,36
271,43,36
272,43,36
273,43,36
274,43,36
275,43,36
276,43,36
277,43,36
278,43,36
279,43,36
280,43,36
281,43,36
282,43,36
283,43,36
284,43,36
285,45,38
286,45,38
287,45,38
288,45,38
289,43,36
290,45,38
291,45,38
292,45,38
293,43,36
294,45,38
295,45,38
296,45,38
297,43,36
298,45,38
299,45,38
300,45,38
301,45,38
302,45,38
303,45,38
304,43,36
305,46,39
306,46,39
307,46,39
308,46,39
309,46,39
310,46,39
311,46,39
312,46,39
313,47,40
314,47,40
315,47,40
316,47,40
317,47,40
318,47,40
319,47,40
320,47,40
321,47,40
322,47,40
323,47,40
324,47,40
325,47,40
326,47,40
327,46,39
328,47,40
329,47,40
330,46,39
331,46,39
332,48,41
333,48,41
334,48,41
335,48,41
336,48,41
